datetime,open,high,low,close,volume
2023-01-01 00:00,1.0800,1.0810,1.0790,1.0805,100
2023-01-01 01:00,1.0805,1.0820,1.0800,1.0815,120
2023-01-01 02:00,1.0815,1.0830,1.0810,1.0825,110
2023-01-01 03:00,1.0825,1.0840,1.0820,1.0835,130
2023-01-01 04:00,1.0835,1.0850,1.0830,1.0845,90
2023-01-01 05:00,1.0845,1.0860,1.0840,1.0855,95
2023-01-01 06:00,1.0855,1.0870,1.0850,1.0865,105
2023-01-01 07:00,1.0865,1.0880,1.0860,1.0875,100
2023-01-01 08:00,1.0875,1.0890,1.0870,1.0885,115
2023-01-01 09:00,1.0885,1.0900,1.0880,1.0895,140
2023-01-01 10:00,1.0895,1.0910,1.0890,1.0905,150
2023-01-01 11:00,1.0905,1.0920,1.0900,1.0915,160
2023-01-01 12:00,1.0915,1.0930,1.0910,1.0925,170
2023-01-01 13:00,1.0925,1.0940,1.0920,1.0935,180
2023-01-01 14:00,1.0935,1.0950,1.0930,1.0945,190
2023-01-01 15:00,1.0945,1.0960,1.0940,1.0955,200
2023-01-01 16:00,1.0955,1.0970,1.0950,1.0965,210
2023-01-01 17:00,1.0965,1.0980,1.0960,1.0975,220
2023-01-01 18:00,1.0975,1.0990,1.0970,1.0985,230
2023-01-01 19:00,1.0985,1.1000,1.0980,1.0995,240
2023-01-01 20:00,1.0995,1.1010,1.0990,1.1005,250
2023-01-01 21:00,1.1005,1.1020,1.1000,1.1015,260
2023-01-01 22:00,1.1015,1.1030,1.1010,1.1025,270
2023-01-01 23:00,1.1025,1.1040,1.1020,1.1035,280
